lon,lat,X1980.02.29,X1980.03.31,X1980.04.30,X1980.05.31,X1980.06.30,X1980.07.31,X1980.08.31,X1980.09.30,X1980.10.31,X1980.11.30,X1980.12.31,X1981.01.31,X1981.02.28,X1981.03.31,X1981.04.30,X1981.05.31,X1981.06.30,X1981.07.31,X1981.08.31,X1981.09.30,X1981.10.31,X1981.11.30,X1981.12.31,X1982.01.31,X1982.02.28,X1982.03.31,X1982.04.30,X1982.05.31,X1982.06.30,X1982.07.31,X1982.08.31,X1982.09.30
44.0500114,39.37312517,3.719674587,10.23931599,30.04766464,50.38547516,45.06790924,52.93612671,59.85315704,43.75614929,27.50934982,10.75089931,5.824723244,4.174781799,5.582843781,13.59598637,24.47261047,46.72428894,48.18097687,54.06074524,57.44152069,46.83733368,24.17432785,8.49995327,6.020424843,3.750404119,3.7074821,10.07306671,29.53362083,47.93794632,46.59541702,48.96032333,56.93304443,39.92076874
44.1500114,39.37312517,3.853812218,11.57339764,33.02404022,54.78772354,53.86598206,67.94766998,61.88838959,38.62691116,26.71559525,11.29452229,5.7728405,3.742549658,6.340286255,17.40162086,26.98874283,51.10815048,55.47618484,68.17001343,63.52856827,42.6616745,23.93544579,8.250175476,6.093678951,3.308615923,3.578419447,11.86354065,32.98073959,53.1371727,52.65279007,63.57086945,60.30469131,38.92732239
44.2500114,39.37312517,5.318065643,12.94804573,35.42165756,55.84422302,55.59306335,72.74653625,53.19369507,32.04584122,24.56815338,11.54112434,6.27773571,4.440375328,8.69389534,19.85933304,29.36039543,52.59320068,56.23093033,71.23423767,59.23980713,34.98594284,22.84773254,8.617753029,6.786320686,3.876774788,4.916539192,14.29292297,36.49864578,55.10026169,55.53266144,68.8534317,53.22228241,35.85915756
44.3500114,39.37312517,6.418220043,17.09964943,37.72284698,60.25901031,69.99951935,68.4230957,55.71962357,35.40779114,24.13068199,12.08228302,6.97752285,4.868021011,11.09635353,26.4161129,32.12922287,56.56102371,64.96648407,67.51655579,61.57077026,38.87773895,24.09576607,9.174040794,7.844596863,4.053011894,5.643654823,18.7981205,39.09263611,59.23760223,65.09988403,66.0870285,56.85857773,37.78092575
44.4500114,39.37312517,7.885568619,18.32099724,37.62251663,60.96010971,69.27251434,66.52487946,48.10382462,23.99890709,20.94716072,12.07228374,6.304579735,5.396737099,14.27411747,27.31791306,33.05303574,58.34840775,69.61832428,68.13227844,62.17448425,40.00096893,24.42039108,8.84803772,7.689649105,4.505720139,6.352437019,19.57288742,39.52128983,60.55130005,67.09145355,65.34545135,60.35181427,40.76143646
44.5500114,39.37312517,7.44725275,19.26452255,38.32923126,65.12018585,72.47825623,67.06562042,46.29799652,25.52362633,22.78271866,12.59691238,6.219878197,5.264007092,13.79417229,26.02686501,33.63184738,62.27975464,72.75109863,68.12420654,59.05329514,40.64930725,24.56059647,9.169931412,7.615488529,4.841727257,5.31054163,17.4497242,39.91962433,64.65042114,71.27451324,66.08196259,56.87124252,39.77435303
44.6500114,39.37312517,6.946126461,19.86199188,37.03992844,58.34835815,58.58030701,55.19517136,39.15174484,22.28781319,19.12601471,10.57293034,5.655648708,5.35049963,11.02263546,23.91262054,32.84542465,54.41568756,61.90828705,58.08343506,52.76776505,27.90052032,18.86476898,7.741392136,5.865810394,4.831914902,5.078853607,17.2257061,38.84439087,57.30992126,61.41179657,56.40042496,51.23854065,35.49813461
44.7500114,39.37312517,7.147614002,21.63145638,38.9058075,61.25039291,58.22034836,54.00269318,21.49634552,19.53700066,17.33543015,10.38002968,5.48919487,5.213628769,11.11436176,24.76336479,35.08058167,57.30910492,61.98594666,57.74834061,53.32282639,26.1159153,18.85611153,7.94299984,5.729771137,4.886373043,5.162296772,17.76067162,40.98940277,59.77574158,61.82121658,56.18190765,51.93283463,36.25738144
44.8500114,39.37312517,7.811616421,21.92768097,36.70110321,55.17704773,51.4076767,39.75706863,17.39715767,14.86122417,14.5589695,9.235350609,5.20405674,4.548315525,11.16419125,24.04578781,34.12636948,54.46126556,57.83044815,52.13417053,43.14294815,13.0538044,16.34030342,7.420229435,5.266390324,4.471832752,5.377182007,18.33244324,39.6437912,56.87242889,57.13146591,51.64820862,45.9965477,28.66227531
44.9500114,39.37312517,7.646281242,22.78386116,33.84534836,55.15529251,52.53268051,17.27531624,6.360868931,10.27880096,11.006423,7.684515953,5.500012875,5.021752834,10.96057892,23.32314873,33.11060715,53.75639343,57.39481735,52.62688065,34.14460754,13.62978649,14.08065414,7.051796436,5.439659119,5.119159698,5.273312569,18.35998726,35.67745972,54.56425858,55.01745224,49.76026154,36.08815384,19.37870789
45.0500114,39.37312517,7.85965538,23.99631119,35.24101257,50.44497299,53.60897446,20.0056572,6.972846031,9.5884552,12.54165745,8.272007942,5.641760826,5.176281929,11.17600918,23.79203415,34.58143997,50.25128937,57.18283844,58.27635193,39.65467072,14.62111378,15.36077404,7.771608353,5.53550148,5.112214565,5.446109772,19.13375473,36.26789856,50.35600281,55.41785812,54.40225983,41.55944824,21.30315971
47.3500114,39.37312517,13.51089096,27.38121605,48.32578659,65.01959991,64.67714691,40.35189438,9.351078987,20.959795,23.87490082,14.01644993,11.62228584,15.22256565,17.79683113,30.76931953,41.1693573,59.55550003,57.03807068,58.00866699,47.53664398,34.72249985,24.19768715,13.55424595,15.5327425,10.84578609,13.56520557,27.88963699,51.17734146,61.5424881,61.81464386,63.13370132,47.67067337,33.81291962
47.4500114,39.37312517,13.17838097,27.32832527,49.98170853,65.03085327,59.61912918,60.85414124,15.53319168,25.08376503,23.78472137,13.39683247,11.8328228,16.29390717,17.03485298,29.99524307,41.50045776,58.95514297,57.56497192,53.86533737,49.53528595,38.55125809,25.8435955,13.27146053,16.50932884,11.14115143,13.06097603,28.05920792,51.40858078,59.16705704,61.13564301,55.90757751,48.08300018,33.55522537
47.5500114,39.37312517,13.76401424,27.64402962,47.2927742,59.33686066,56.87020874,66.24176025,14.80688953,26.06128883,24.71578217,14.43937302,13.22572041,16.78382874,17.32507133,30.24010086,38.74695587,54.8425827,56.26330185,56.32400513,51.44856262,40.56734848,26.72624969,13.93117905,17.76738167,11.71114731,13.32791138,28.45166016,47.69009781,55.04281235,58.85578537,57.99930191,50.46404266,35.47726059
47.6500114,39.37312517,15.28385258,30.8335247,51.15207672,57.8297348,45.35561752,36.71336365,8.71172142,23.54747391,21.70950699,13.76059246,14.61532497,18.71651268,19.79502869,33.69868088,41.1300087,57.2183342,51.0112381,42.60892105,40.551754,31.00397682,24.20332336,13.6423502,21.06867409,12.8279953,15.06287861,30.1060524,51.81982422,55.32984161,55.02593994,46.88693237,41.60219193,28.53894234
47.7500114,39.37312517,16.33990288,31.36882401,50.06793213,54.01511383,41.36031723,33.3241806,7.515552044,23.21984673,22.17418861,14.76236916,16.36416435,20.17957306,21.43185806,34.66391373,40.30727005,54.59577942,48.99262238,42.16123199,38.89557648,30.67487335,24.77599525,14.40698814,23.4199028,13.49321079,15.8283205,30.88758087,50.77440262,52.18013763,51.86308289,45.60897827,41.06196976,29.13876915
47.8500114,39.37312517,16.5932045,31.51010132,49.89025497,57.52505112,43.34465408,43.16652298,32.65132141,25.8416214,22.55535698,14.42284012,15.54877758,19.36597061,20.97774887,34.74950027,40.38042831,56.2897377,49.87417603,44.31869507,39.82880402,31.56402016,25.07655525,14.30400181,21.85663223,13.00398254,15.50579739,30.91096878,51.22820282,54.9638443,54.30072021,45.77935028,42.15868378,29.26752472
47.9500114,39.37312517,15.39338398,30.28352356,49.14935684,64.28525543,56.56948853,47.78958893,37.77987671,27.9143219,23.66017342,13.81989193,13.88512993,16.90143394,19.18444061,31.89805794,40.32291031,58.85723877,58.11124039,48.70549774,45.42181015,33.07964325,24.90561676,13.53315926,19.53628349,11.8491869,14.42868137,29.76137543,50.65859985,60.04165649,62.12335587,49.08115005,43.84049988,30.78141212
48.0500114,39.37312517,13.82017612,29.91855812,46.83145905,61.47831345,51.24622726,45.33282471,36.47821426,27.37586403,21.66008186,13.8141613,14.19451427,15.63088608,18.8582859,31.42767143,38.63565826,56.84816742,54.80607605,46.6919136,41.83576584,30.37806129,23.87031555,13.77192783,20.08840942,8.902293205,13.44277287,29.56978035,48.76013947,56.77347183,58.75308609,46.114254,41.70760727,28.32536507
48.1500114,39.37312517,16.09844208,29.90313911,46.88851929,59.66362762,31.18130493,10.33410263,10.61681366,25.01952362,21.38342476,14.62168217,14.15858269,16.49591255,20.776968,31.74636078,39.90699387,56.91861343,44.81015015,34.4425621,32.43147278,23.44005394,20.42832375,13.35398769,18.10485649,11.66177082,15.2205162,30.50989342,45.77905655,47.37860107,45.41279984,33.85389709,28.80270386,23.04997826
48.2500114,39.37312517,15.92772484,29.97542191,44.5642128,61.02958298,48.47770309,50.0520401,35.10374451,20.45392418,21.06410599,13.60834885,13.03270626,15.1035347,19.69485664,31.12013435,37.76995087,56.66785431,55.84606171,43.14186096,37.99114227,29.29240799,22.47210884,13.12834263,16.52100563,10.9126482,14.49847603,29.26413155,46.03388977,58.33245087,55.82544708,46.00108337,37.13874435,28.65751266
44.1500114,39.27312517,3.727863789,10.52415848,31.5443058,49.90169525,46.75952911,63.49775314,62.40036774,40.25852203,27.3034687,10.28809738,4.83770752,3.350653172,5.791235924,14.61296177,25.54458046,46.47292328,49.91189575,64.10664368,63.16891861,45.28106308,24.80895805,7.560246944,4.912228584,2.904134989,3.478736639,10.60583305,31.68891525,48.00474167,46.2195015,59.58358383,60.19766998,40.30823135
44.2500114,39.27312517,5.249351501,12.61936378,35.06726456,54.59393311,55.00277328,69.24620056,64.78104401,39.73188782,27.03156471,11.40340805,6.3274436,4.217222691,7.942149162,18.14908409,28.63193512,50.86735153,55.57590103,69.61903381,66.36349487,45.08052063,25.12811852,8.572299957,6.564497471,3.787825108,5.181861877,14.08255482,36.10993576,52.66825485,55.02104187,65.17814636,62.66920853,40.77653885
44.3500114,39.27312517,3.355973005,12.82400799,32.79213333,50.06118011,47.74598694,61.9900856,56.76625443,34.32388687,24.55253983,10.26537228,5.398754597,3.24658227,7.116242886,19.65429306,26.64404488,46.90485001,49.87186813,64.30805969,60.63204575,39.27398682,22.72589111,7.619252682,6.001824856,2.861298323,3.350554705,14.43139172,33.46344376,48.05965042,49.45862579,59.92927933,55.53238678,36.79092026
44.4500114,39.27312517,3.419529915,12.87789917,32.91014099,60.53435516,72.38329315,72.54669952,54.59473038,32.16268921,21.84262657,10.10571957,4.065716743,3.373520613,8.75222683,21.62846947,27.67058563,55.38976288,68.24884033,69.68128204,55.72925186,35.02351761,21.71936035,7.28781271,5.034303665,2.851947546,2.918027639,13.48651791,34.39319229,55.75832367,67.58861542,67.76179504,53.52295303,36.62236786
44.5500114,39.27312517,4.094157696,16.16895485,37.1126976,65.28010559,75.57652283,79.05751801,56.8405571,31.13920403,22.74766731,10.91056347,5.422323704,4.238673687,10.44054031,22.98740768,31.77791405,60.74047089,71.21277618,76.38767242,60.29480743,34.95819473,22.95846748,7.843920708,6.604169846,3.945539951,3.034730911,14.50537872,38.98283005,61.63439941,70.37743378,73.16452026,58.01826096,37.82719421
